Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit],Charging [-],Dicharging [-],Mobility_bev [MWh],Mobility_car [km]
148.0000000000,1.2066416560,16.8306122400,0.0000000000,216.6411879000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
149.0000000000,1.2707662560,18.2387755100,0.0000000000,382.3801780000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
150.0000000000,1.5465657850,19.4591836700,0.0000000000,442.7156407000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
151.0000000000,2.2708198330,19.8346938800,0.0000000000,412.5479093000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
152.0000000000,2.8615487470,19.5530612200,0.0000000000,322.0447154000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
153.0000000000,3.0945692320,22.7448979600,7.9901315710,300.7105055000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
154.0000000000,3.1467790110,23.7775510200,39.9506578500,237.6585173000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
155.0000000000,3.2556391470,23.1204081600,107.9488731000,258.6758467000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
156.0000000000,3.3157628290,21.1489795900,123.0292480000,322.0447154000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
157.0000000000,3.2895590160,19.2714285700,85.5512695100,412.5479093000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
158.0000000000,3.2331504720,19.0836734700,75.3579259200,382.3801780000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
159.0000000000,3.1231032500,19.3653061200,111.9964034000,533.6173233000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
160.0000000000,3.0685632670,19.3653061200,51.6384009500,134.9184882000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
161.0000000000,3.1233450640,20.0224489800,0.0000000000,195.6238585000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
162.0000000000,3.4077399710,20.8673469400,0.0000000000,65.8889943800,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
163.0000000000,3.3909668930,21.5244898000,0.0000000000,82.3036771400,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
164.0000000000,3.2409984260,21.7122449000,0.0000000000,148.0721909000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
165.0000000000,2.9309932480,20.3979591800,0.0000000000,352.2124467000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
166.0000000000,2.6839915340,19.0836734700,0.0000000000,733.7715276000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
167.0000000000,2.5132710530,17.5816326500,0.0000000000,1067.9270090000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
168.0000000000,2.1352942400,17.1122449000,0.0000000000,653.7098459000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
169.0000000000,1.8238161970,16.5489795900,0.0000000000,573.6481642000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
170.0000000000,1.6186702370,16.4551020400,0.0000000000,653.7098459000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
171.0000000000,1.5468075990,15.9857142900,0.0000000000,1017.0449920000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
172.0000000000,1.5466757010,15.9857142900,0.0000000000,1017.0449920000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
173.0000000000,1.6325195680,16.5489795900,0.0000000000,915.2809597000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
174.0000000000,1.8556256910,19.0836734700,0.0000000000,693.7406867000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
175.0000000000,2.5069179480,21.7122449000,0.0000000000,653.7098459000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
176.0000000000,3.1408435830,22.4632653100,0.0000000000,1169.6910420000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
177.0000000000,3.4038929350,22.6510204100,7.9901315710,1017.0449920000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
178.0000000000,3.4232600150,21.3367346900,39.9506578500,1017.0449920000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
179.0000000000,3.4761292850,21.2428571400,50.6041666200,966.1629761000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
